EU rejects German call to boycott British lamb .	NNP VBZ JJ NN TO VB JJ NN .
Nepal shares a long mountain border with the restive Himalayan region , where opposition to Beijing 's four-decade rule is widespread .	JJ NNS DT JJ NN NN IN DT JJ JJ NN , WRB NN TO NNP POS JJ NN VBZ JJ .
Chinese official media has often accused foreign forces , notably the United States , of seeking to support Tibetan independence activists .	JJ NN NNS VBZ RB VBN JJ NNS , RB DT NNP NNP , IN VBG TO VB NNP NN NNS .
King Birenda told Gyaicain Norbu , chairman of the Tibetan government , that Nepal would not " become a tool for others to split Tibet " , the newspaper said .	NNP NNP VBD NNP NNP , NN IN DT NNP NN , IN NNP MD RB " VB DT NN IN NNS TO VB NNP " , DT NN VBD .
Gyaicain told the royal visitor increased cooperation between Nepal and Tibet was possible in the fields of trade , tourism , communications and sports , it said .	NN VBD DT JJ NN VBD NN IN NNP CC NNP VBD JJ IN DT NNS IN NN , NN , NNS CC NNS , PRP VBD .
It gave no details .	PRP VBD DT NNS .
Iran hangs two men for drug trafficking .	NNP VBZ CD NNS IN NN NN .
TEHRAN 1996-08-24	NNP CD
Iran has hanged two drug traffickers in the southern city of Shiraz , the evening newspaper Resalat reported on Saturday .	NNP VBZ VBN CD NN NNS IN DT JJ NN IN NNP , DT NN NN NNP VBD IN NNP .
The two Iranian men were arrested in July with 419 kilograms ( 924 lbs ) of opium after they opened fire on police and killed a pedestrain and wounded four , the newspaper quoted a police commander as saying .	DT CD JJ NNS VBD VBN IN NNP IN CD NNS ( CD NNS ) IN NN IN PRP VBD NN IN NN CC VBD DT NN CC VBN CD , DT NN VBD DT NN NN IN VBG .
Resalat said the executions were ordered by the Islamic Revolutionary Court .	NN VBD DT NNS VBD VBN IN DT NNP NNP NNP .
It did not say when they took place .	PRP VBD RB VB WRB PRP VBD NN .
One of the men , who killed the pedestrian , was hanged at the site of the crime and the other was executed in Adel prison in Shiraz , the newspaper said .	CD IN DT NNS , WP VBD DT NN , VBD VBN IN DT NN IN DT NN CC DT JJ VBD VBN IN NNP NN IN NNP , DT NN VBD .
Possession of 30 grammes ( just over an ounce ) of heroin or five kg ( 11 lb ) of opium is punishable by death in Iran .	NN IN CD NNS ( RB IN DT NN ) IN NN CC CD NN ( CD NN ) IN NN VBZ JJ IN NN IN NNP .
More than 1,000 people have been executed in drug-related cases since the law took effect in 1989 .	JJR IN CD NNS VBP VBN VBN IN JJ NNS IN DT NN VBD NN IN CD .
Iran has an estimated one million drug addicts and is a key transit route for drugs , mostly opium , smuggled to Europe through Afghanistan and Pakistan -- the so called " Golden Crescent . "	NNP VBZ DT VBN CD CD NN NNS CC VBZ DT JJ NN NN IN NNS , RB NN , VBN TO NNP IN NNP CC NNP : DT RB VBD " NNP NNP . "
Main Tunisian opposition party ousted from HQ .	NNP NNP NN NN VBD IN NNP .
TUNIS 1996-08-24	NNS CD
Tunisia 's main opposition party on Saturday announced that it had been ousted from its headquarters building by a court decision for failing to pay the rent .	NNP POS JJ NN NN IN NNP VBD IN PRP VBD VBN VBN IN PRP$ NN VBG IN DT NN NN IN VBG TO VB DT NN .
Mohamed Ali Khalfallah , spokesman for the Movement of Socialist Democrats ( MDS ) said that a bailiff who was accompagnied by policemen , on Saturday ordered the party to leave the building .	NNP NNP NNP , NN IN DT NNP IN NNP NNPS ( NNP ) VBD IN DT NN WP VBD VBN IN NNS , IN NNP VBD DT NN TO VB DT NN .
" We were not allowed a delay to enable us to transfer the movement 's goods and documents , " Khalfallah added in a statement .	" PRP VBD RB VBN DT NN TO VB PRP TO VB DT NN POS NNS CC NNS , " WRB VBN IN DT NN .
The building is state property .	DT NN VBZ NN NN .
The MDS was represented in court and admitted owing money for rent but did not give details .	DT NNP VBD VBN IN NN CC VBD VBG NN IN NN CC VBD RB VB NNS .
MDS this year lost its president and vice-president , both of whom were tried and given jail sentences .	RB DT NN VBD PRP$ NN CC NN , DT IN WP VBD VBN CC VBN NN NNS .
MDS president Mohamed Moada was sentenced last February to 11 years in jail on charges of having secret contacts with Libyan agents and receiving money from Tripoli .	NNP NN NNP NNP VBD VBN JJ NNP TO CD NNS IN NN IN NNS IN VBG JJ NNS IN JJ NNS CC VBG NN IN NNP .
Vice-president Khemais Chammari last July was sentenced to five years in prison on a charge of disclosing secrets of judicial proceedings in Moada 's affair .	NNP NNP NNP JJ NNP VBD VBN TO CD NNS IN NN IN DT NN IN VBG NNS IN JJ NNS IN NN POS NN .
To replace Moada , the MDS after the trial named Khalfallah as " coordinator " but Ismail Boulahya , the last of the MDS founding members still politically active , claimed the title of president , causing a new split within the movement .	TO VB NNP , DT NNP IN DT NN VBN NNP IN " NN " CC NNP NNP , DT JJ IN DT NNP NN NNS RB RB JJ , VBD DT NN IN NN , VBG DT JJ NN IN DT NN .
MDS was founded in 1978 by a group led by Ahmed Mestiri , who withdrew from politics in 1992 .	NNP VBD VBN IN CD IN DT NN VBN IN NNP NNP , WP VBD IN NNS IN CD .
Succeeding him as head of the movement , Moada , an Arab nationalist , ousted liberals led by MDS secretary-general Mustapha Ben Jaafar in 1993 .	VBG PRP IN NN IN DT NN , NNP , DT JJ NN , VBD NNS VBN IN NNP NN NNP NNP NNP IN CD .
Kurdish group says two killed in Iraqi shelling .	JJ NN VBZ CD VBD IN JJ NN .
NICOSIA 1996-08-24	NNP CD
An Iraqi Kurdish guerrilla group on Saturday accused Iraqi government forces of killing two civilians in shelling in northern Iraq , the Iranian news agency IRNA reported .	DT JJ JJ NN NN IN NNP VBD JJ NN NNS IN VBG CD NNS IN VBG IN JJ NNP , DT JJ NN NN NNP VBD .
IRNA said it was monitoring a report from a radio station affiliated to the Patriotic Union of Kurdistan ( PUK ) .	NNP VBD PRP VBD VBG DT NN IN DT NN NN VBN TO DT NNP NNP IN NNP ( NNP ) .
" Iraqi army heavily shelled the Kanie Karzhala camp , west of Arbil , on Friday ...	" JJ NN RB VBD DT NNP NNP NN , NN IN NNP , IN NNP :
Two civilians were killed in the Iraqi bombing , " IRNA quoted the radio report as saying .	CD NNS VBD VBN IN DT JJ NN , " NNP VBD DT NN NN IN VBG .
The PUK-run radio on Friday said Iraqi heavy artillery was pounding its positions in Kurdish-controlled northern Iraq but it gave no details of casualties .	DT JJ NN IN NNP VBD JJ JJ NN VBD VBG PRP$ NNS IN JJ JJ NNP CC PRP VBD DT NNS IN NNS .
There was no independent confirmation of the reports .	EX VBD DT JJ NN IN DT NNS .
The rival Kurdistan Democratic Party ( KDP ) , which accuses Iran of supporting the PUK , said on Thursday that its forces had halted an Iranian-backed attack by thousands of PUK fighters .	DT JJ NNP NNP NNP ( NNP ) , WDT VBZ NNP IN VBG DT NNP , VBD IN NNP IN PRP$ NNS VBD VBN DT JJ NN IN NNS IN NNP NNS .
The United States said in Washington on Friday that it had brokered a ceasefire to end six days of fighting between the two main Kurdish factions and persuaded them to attend U.S.-mediated peace talks next month .	DT NNP NNP VBD IN NNP IN NNP IN PRP VBD JJ DT NN TO VB CD NNS IN VBG IN DT CD JJ JJ NNS CC VBD PRP TO VB JJ NN NNS JJ NN .
The clashes , shattering a ceasefire negotiated last year by Washington , had threatened a U.S.-led peace plan to unite the Kurdish region against Iraqi President Saddam Hussein .	DT NNS , VBG DT NN VBD JJ NN IN NNP , VBD VBN DT JJ NN NN TO VB DT JJ NN IN JJ NNP NNP NNP .
U.S. , British and French planes have been patrolling the skies of northern Iraq since shortly after the 1991 Gulf War to shield Iraq 's Kurds from any attack by Iraqi troops .	NNP , NNP CC JJ NNS VBP VBN VBG DT NNS IN JJ NNP IN RB IN DT CD NNP NNP TO VB NNP POS NNPS IN DT NN IN JJ NNS .
Iran accuses Iraq of ceasefire violations .	NNP VBZ NNP IN NN NNS .
NICOSIA 1996-08-24	NNP CD
Iran has accused Iraq of violating the ceasefire ending their 1980-88 war some 32 times between the end of March and May 31 this year , the Iranian news agency IRNA reported on Saturday .	NNP VBZ VBN NNP IN VBG DT NN VBG PRP$ CD NN DT CD NNS IN DT NN IN NNP CC NNP CD DT NN , DT JJ NN NN NNP VBD IN NNP .
Iran 's deputy representative to the United Nations , Majid Takht Ravanchi , made the allegations in a letter to U.N. Secretary-General Boutros Boutros-Ghali on Friday , the agency said .	NNP POS NN NN TO DT NNP NNPS , NNP NNP NNP , VBD DT NNS IN DT NN TO NNP NNP NNP NNP IN NNP , DT NN VBD .
" The Islamic Republic of Iran has reported some 32 new cases of ceasefire violations by the Iraqi regime between March 31 and May 31 , 1996 , " it reported from New York .	" DT NNP NNP IN NNP VBZ VBN DT CD JJ NNS IN NN NNS IN DT JJ NN IN NNP CD CC NNP CD , CD , " PRP VBD IN NNP NNP .
It said violations included constructing observation posts , installing mortars and anti-aircraft cannons , setting up tents , penetrating Iranian territory , and firing rifle grenades towards Iranian territory .	PRP VBD NNS VBD VBG NN NNS , VBG NNS CC JJ NNS , VBG RP NNS , JJ JJ NN , CC VBG NN NNS IN JJ NN .
The eight-year war between the two countries ended with a U.N.-sponsored ceasefire .	DT JJ NN IN DT CD NNS VBN IN DT JJ NN .
PRESS DIGEST - Iraq - Aug 24 .	NNS NNP : NNP : NNP CD .
BAGHDAD 1996-08-24	NNP CD
These are some of the leading stories in the official Iraqi press on Saturday .	DT VBP DT IN DT VBG NNS IN DT JJ JJ NN IN NNP .
Reuters has not verified these stories and does not vouch for their accuracy .	NNP VBZ RB VBN DT NNS CC VBZ RB NN IN PRP$ NN .
JUMHOURIYA	NNP
- Istanbul chamber of commerce urges Ankara to resume trade with Iraq .	: JJ NN IN NN VBZ NNP TO VB NN IN NNP .
- Offers from Arab and foreign companies to supply Iraq with goods .	: NNS IN NNP CC JJ NNS TO VB NNP IN NNS .
- Four ships unload tonnes of Iraq-bound sugar at Jordan 's Aqaba .	: CD NNS VBP NNS IN JJ NN IN NNP POS NNP .
- Editorial blames U.S. for latest flare-up of fighting between Kurdish rebels in northern Iraq .	: NN VBZ NNP IN JJS NN IN VBG IN JJ NNS IN JJ NNP .
- Black market booms in the shadow of state-run supermarkets .	: NNP NN NNS IN DT NN IN JJ NNS .
- Parliament completes draft law on protection of river waters in Iraq .	: NNP VBZ NN NN IN NN IN NN NNS IN NNP .
QADISSIYA	NNP
- Iraq denounces violation of airspace by U.S. warplanes .	: NNP VBZ NN IN NN IN NNP NNS .
IRAQ	NN
- Editorial lambasts Jalal Talabani , leader of a Kurdish rebel faction in the north , for liaising with Iran in its fight against rivals .	: NN NNS NNP NNP , NN IN DT JJ NN NN IN DT NN , IN VBG IN NNP IN PRP$ NN IN NNS .
BABEL	NNP
- Blaming Iraq for riots in Jordan is a dirty game .	: NNP NNP IN NNS IN NNP VBZ DT JJ NN .
Clinton campaign busy making " news " .	NNP NN JJ VBG " NN " .
Laurence McQuillan	NNP NNP
WASHINGTON 1996-08-24	NNP CD
President Bill Clinton has served notice he intends to be busy " making news " -- or at least doing things that look and sound like it in a campaign year .	NNP NNP NNP VBZ VBN NN PRP VBZ TO VB JJ " VBG NN " : CC IN JJS VBG NNS WDT VBP CC NN IN PRP IN DT NN NN .
With Democrats gathering in Chicago to start a convention on Monday to nominate him for a second term as president , Clinton plans a steady parade of events designed to highlight his leadership and dim the glow of the just-concluded Republican conclave that gave a boost to rival Bob Dole .	IN NNP NN IN NNP TO VB DT NN IN NNP TO VB PRP IN DT JJ NN IN NN , NNP VBZ DT JJ NN IN NNS VBN TO VB PRP$ NN CC JJ DT NN IN DT JJ NNP NN WP VBD DT NN TO NN NNP NNP .
After a week of carefully orchestrated events signing into law bills passed by the Republican-controlled Congress , Clinton used his Saturday radio address to the nation to proudly " announce " a development in the war on crime .	IN DT NN IN RB VBN NNS VBG IN NN NNS VBN IN DT JJ NNP , NNP VBD PRP$ NNP NN NN TO DT NN TO RB " VB " DT NN IN DT NN IN NN .
" Sixty days ago I directed the attorney general to draw up a plan for a national registry of sex offenders , " Clinton said . "	" CD NNS RB PRP VBD DT NN NN TO VB RP DT NN IN DT JJ NN IN NN NNS , " NNP VBD . "
That plan has now reached my desk . "	DT NN VBZ RB VBN PRP$ NN . "
" Today I am pleased to announce that we are following through on our commitment to keep track of these criminals , not just in a single state but wherever they go , " he said .	" NN PRP VBP VBN TO VB IN PRP VBP VBG RP IN PRP$ NN TO VB NN IN DT NNS , RB RB IN DT JJ NN CC WRB PRP VBP , " PRP VBD .
Actually , creation of such a registry was underway without Clinton lifting a finger .	RB , NN IN PDT DT NN VBD RB IN NNP VBG DT NN .
Attorney General Janet Reno 's report -- all nine pages of it , including footnotes -- offers only the interim services of the FBI until a formal registry on sex offenders has been established .	NNP NNP NNP NNP POS NN : DT CD NNS IN PRP , VBG NNS : VBZ RB DT JJ NNS IN DT NNP IN DT JJ NN IN NN NNS VBZ VBN VBN .
Two months ago , Clinton announced he wanted an interim effort established .	CD NNS RB , NNP VBD PRP VBD DT JJ NN VBD .
Now , 60 days later , he had a chance to talk about it again .	RB , CD NNS RB , PRP VBD DT NN TO VB IN PRP RB .
It is an example of Clinton 's strategic planning as he heads into the stretch drive for the Nov. 5 presidential election .	PRP VBZ DT NN IN NNP POS JJ NN IN PRP VBZ IN DT NN NN IN DT NNP CD JJ NN .
Such things do not happen by chance in the Clinton White House , they are part of his political chess game .	JJ NNS VBP RB VB IN NN IN DT NNP NNP NNP , PRP VBP NN IN PRP$ JJ NN NN .
In the past week Clinton signed into law an increase in the minimium wage , a bill that makes it easier for someone with a pre-existing health problem to change jobs , and sweeping changes overhauling the nation 's welfare system .	IN DT JJ NN NNP VBD IN NN DT NN IN DT NN NN , DT NN WDT VBZ PRP JJR IN NN IN DT JJ NN NN TO VB NNS , CC JJ NNS VBG DT NN POS NN NN .
" America can look back on a week of remarkable achievement , " Clinton said , without even a passing reference to the Republican majority in the House and Senate .	" NNP MD VB RP IN DT NN IN JJ NN , " NNP VBD , IN RB DT VBG NN TO DT NNP NN IN DT NNP CC NNP .
" America is on the right track offering more opportunity , demanding more responsibility , building a stronger community , the sense of shared values and stronger families , " he said in striking the theme of his coming week .	" NNP VBZ IN DT JJ NN NN JJR NN , VBG JJR NN , VBG DT JJR NN , DT NN IN VBN NNS CC JJR NNS , " PRP VBD IN VBG DT NN IN PRP$ VBG NN .
According to a senior campaign official , Clinton " will be making a lot of news in the coming week -- something different each day . "	VBG TO DT JJ NN NN , NNP " MD VB VBG DT NN IN NN IN DT VBG NN : NN JJ DT NN . "
Clinton departs on Sunday on a four-day train trip through West Virginia , Kentucky , Ohio , Michigan and Indiana while fellow Democrats are gathered in Chicago .	NNP VBZ IN NNP IN DT JJ NN NN IN NNP NNP , NNP , NNP , NNP CC NNP IN JJ NNPS VBP VBN IN NNP .
" He 'll make news during the day ... and then at night the attention will go to the convention , " said the campaign official . "	" PRP MD VB NN IN DT NN : CC RB IN NN DT NN MD VB TO DT NN , " VBD DT NN NN . "
We think it 'll work really well . "	PRP VBP PRP MD VB RB RB . "
Although officials decline to say just what each day 's " news " will be , the intent is to put a focus on Clinton himself and not just those attending the party 's convention .	IN NNS VBP TO VB RB WP DT NN POS " NN " MD VB , DT NN VBZ TO VB DT NN IN NNP PRP CC RB RB DT VBG DT NN POS NN .
Each day of the trip will have a late start , so that network television correspondents will be able to do live reports for morning programmes .	DT NN IN DT NN MD VB DT JJ NN , RB IN NN NN NNS MD VB JJ TO VB RB VBZ IN NN NNS .
Campaign officials then hope the day 's " news " event will be showcased on evening television news shows as a lead-in for that night 's convention programme .	NN NNS RB VBP DT NN POS " NN " NN MD VB VBN IN NN NN NN VBZ IN DT JJ IN DT NN POS NN NN .
" We 'll be concentrating ... on supporting the president as he is on the trip and making significant public policy statements related to some of his plans for the future , " said White House Press Secretary Mike McCurry .	" PRP MD VB VBG : IN VBG DT NN IN PRP VBZ IN DT NN CC VBG JJ JJ NN NNS VBN TO DT IN PRP$ NNS IN DT NN , " VBD NNP NNP NNP NNP NNP NNP .
McCurry said that when Clinton delivers his acceptance address on Thursday night to fellow Democrats and a national television audience , he will " set out a road map " for the nation 's future -- one the president hopes guides him back to the White House for four more years .	NN VBD IN WRB NNP VBZ PRP$ NN NN IN NNP NN TO NN NNPS CC DT JJ NN NN , PRP MD " VBN RP DT NN NN " IN DT NN POS JJ : CD DT NN VBZ NNS PRP RB TO DT NNP NNP IN CD JJR NNS .
Hurricane expected to veer north of Caribbean .	NN VBN TO VB RB IN NNP .
MIAMI 1996-08-24	NNP CD
Hurricane Edouard grew stronger on Saturday as it swirled across the Atlantic Ocean , but forecasters at the National Hurricane Center said the storm would likely swing north and miss the Caribbean .	NNP NNP VBD JJR IN NNP IN PRP VBD IN DT NNP NNP , CC NNS IN DT NNP NNP NNP VBD DT NN MD RB VB RB CC VB DT NNP .
" Edouard is getting stronger and stronger , and it already has winds of 105 mph ( 185 kph ) , " said hurricane forecaster Lixion Avila .	" NNP VBZ VBG JJR CC JJR , CC PRP RB VBZ NNS IN CD NN ( CD NN ) , " VBD NN NN NNP NNP .
" But the good news is that all our computer models indicate Edouard is going to turn to the west-northwest on Sunday and miss the islands , " he added .	" CC DT JJ NN VBZ IN DT PRP$ NN NNS VBP NNP VBZ VBG TO VB TO DT JJS IN NNP CC VB DT NNS , " PRP VBD .
At 11 a.m. EDT ( 1500 GMT ) , Edouard was 1,130 miles east of the Lesser Antilles and moving west at 14 mph ( 25 kph ) .	IN CD NN NNP ( CD NNP ) , NNP VBD CD NNS JJ IN DT NNP NNPS CC VBG RB IN CD NN ( CD NN ) .
Its exact position was latitude 14.5 north , longitude 44.2 west .	PRP$ JJ NN VBD NN CD RB , NN CD NN .
France hands suspected ETA member to Spain .	NN NNS VBD NNP NN TO NNP .
PARIS 1996-08-24	NNP CD
France on Saturday handed a suspected member of the Basque separatist group ETA to Spanish authorities , French Interior Ministry officials said .	NNP IN NNP VBD DT VBN NN IN DT JJ JJ NN NNP TO JJ NNS , NNP NNP NNP NNS VBD .
Ignacio Olascoaga Mugica , who had just ended a prison sentence in France , is suspected of having taken part in several guerrilla attacks in Spain .	NNP NNP NNP , WP VBD RB VBN DT NN NN IN NNP , VBZ VBN IN VBG VBN NN IN JJ NN NNS IN NNP .
ETA ( Basque Homeland and Freedom ) has killed about 800 people in its campaign for an independent Basque state since the 1960s .	NNP ( NNP NNP CC NNP ) VBZ VBN IN CD NNS IN PRP$ NN IN DT JJ NNP NN IN DT NNS .
German troops to remain in Bosnia for 1997--Ruehe .	JJ NNS TO VB IN NNP IN CD .
BONN 1996-08-24	NN CD
Defence Minister Volker Ruehe said that German troops would stay on in Bosnia next year as part of an international force to ensure the establishment of peace , a newspaper reported on Saturday .	NN NNP NNP NNP VBD IN JJ NNS MD VB IN IN NNP JJ NN IN NN IN DT JJ NN TO VB DT NN IN NN , DT NN VBD IN NNP .
The current NATO-led peace force ( IFOR ) in Bosnia is due to return home at the end of the year .	DT JJ JJ NN NN ( NNP ) IN NNP VBZ JJ TO VB NN IN DT NN IN DT NN .
But Ruehe told Bild am Sonntag in an interview that a " new and different mandate " for the troops would be agreed on for next year after the current mandate expires in December .	CC NNP VBD NNP VBP NNP IN DT NN IN DT " JJ CC JJ NN " IN DT NNS MD VB VBN RP IN JJ NN IN DT JJ NN VBZ IN NNP .
" After the ( Bosnian ) elections ( on September 14 ) the troops will start being reduced from the beginning of October from 60,000 to about 20,000 .	" IN DT ( NNP ) NNS ( IN NNP CD ) DT NNS MD VB VBG VBN IN DT NN IN NNP IN CD TO IN CD .
A completely new and different mandate will be agreed for next year , " Ruehe said .	DT RB JJ CC JJ NN MD VB VBN IN JJ NN , " NNP VBD .
" The defence ministers will begin negotiations for this at the beginning of September at a NATO meeting , " he told the newspaper in an interview , excerpts of which were released ahead of publication on Sunday .	" DT JJ NNS MD VB NNS IN DT IN DT NN IN NNP IN DT NNP NN , " PRP VBD DT NN IN DT NN , NNS IN WDT VBD VBN RB IN NN IN NNP .
" But we must avoid giving the impression this peace deployment in former Yugoslavia is being perceived in the long run as an occupation .	" CC PRP MD VB VBG DT NN DT NN NN IN JJ NNP VBZ VBG VBN IN DT JJ NN IN DT NN .
On the other hand we must prevent any return of war and massacres " he said .	IN DT JJ NN PRP MD VB DT NN IN NN CC NNS " PRP VBD .
Italian comics hope independence-joke 's on Bossi .	JJ NNS VBP JJ POS IN NNP .
ORVIETO , Italy 1996-08-24	RB , NNP CD
A group of Italian comics hope the joke will be on separatist leader Umberto Bossi next month when they lead the ancient Etruscan town of Orvieto in a mock split from Rome .	DT NN IN JJ NNS VBP DT NN MD VB IN JJ NN NNP NNP JJ NN WRB PRP VB DT JJ JJ NN IN NNP IN DT JJ NN IN NNP .
Orvieto mayor Stefano Cimicchi said the comics , including popular actor Roberto Benigni , would declare Orvieto " capital of Etruria " on September 15 -- the day Bossi plans a march across the north in favour of independence from Rome .	JJ NN NNP NNP VBD DT NNS , VBG JJ NN NNP NNP , MD VB NNP " NN IN NNP " IN NNP CD : DT NN NNP VBZ DT NN IN DT NN IN NN IN NN IN NNP .
" We will then proceed with the annexation of Sardinia , Corsica and Cyprus , " Cimicchi told reporters on Saturday .	" PRP MD RB VB IN DT NN IN NNP , NNP CC NNP , " NNP VBD NNS IN NNP .
He said the city council would be " ironically present " when the comics made their proclamation on the same day Bossi has threatened to declare the birth of Padania , the name he has given to northern Italy .	PRP VBD DT NN NN MD VB " RB JJ " WRB DT NNS VBD PRP$ NN IN DT JJ NN NNP VBZ VBN TO VB DT NN IN NNP , DT NN PRP VBZ VBN TO JJ NNP .
Orvieto , located in Umbria between Rome and Florence , was once the capital of Etruria , an ancient federation of 12 Etruscan towns .	NNP , VBN IN NNP IN NNP CC NNP , VBD RB DT NN IN NNP , DT JJ NN IN CD JJ NNS .
" We want to pop some air out of this balloon of tension that has been blown up around September 15 , " Cimicchi said .	" PRP VBP TO VB DT NN IN IN DT NN IN NN WDT VBZ VBN VBN RP IN NNP CD , " NNP VBD .
" We want to help turn down the rhetoric in a country that borders former Yugoslavia yet in which people are still talking about secession , " he added .	" PRP VBP TO VB VB RP DT NN IN DT NN IN NNS JJ NNP RB IN WDT NNS VBP RB VBG IN NN , " PRP VBD .
Bossi has intensified his separatist rhetoric since his Northern League party 's good showing in last April 's general election , when it took 10 percent of the vote nationally .	NNP VBZ VBN PRP$ JJ NN IN PRP$ NNP NNP NN POS JJ NN IN JJ NNP POS JJ NN , WRB PRP VBD CD NN IN DT NN RB .
He has recently dropped a drive for federalism , saying secession from Rome 's wasteful and centralised bureaucracy is the only solution for northerners .	PRP VBZ RB VBD DT NN IN NN , VBG NN IN NNP POS JJ CC JJ NN VBZ DT JJ NN IN NNS .
Italian farmer says he mutilated four women .	JJ NN VBZ PRP VBN CD NNS .
VERONA , Italy 1996-08-24	NNP , NNP CD
An Italian farmer accused of multiple homocide has confessed to mutilating the bodies of four women after having sex with them , the Italian news agency ANSA reported on Saturday .	DT JJ NN VBN IN JJ NN VBZ VBD TO VBG DT NNS IN CD NNS IN VBG NN IN PRP , DT JJ NN NN NNP VBD IN NNP .
It quoted the lawyer of Gianfranco Stevanin as saying the 35-year-old farmer confessed on Friday to a Verona magistrate that he had killed and mutilated the women .	PRP VBD DT NN IN NNP NNP IN VBG DT JJ NN VBD IN NNP TO DT NNP NN IN PRP VBD VBN CC VBN DT NNS .
ANSA said Stevanin was unable to recall how he had killed the women , remembering only that he had found them " lifeless in his arms " after having sadmasochistic sex with them .	NNP VBD NNP VBD JJ TO VB WRB PRP VBD VBN DT NNS , VBG RB IN PRP VBD VBN PRP " JJ IN PRP$ NNS " IN VBG JJ NN IN PRP .
Stevanin , arrested in 1994 and jailed for three years for assaulting an Austrian prostitute , is accused of murdering five women , three of whose bodies were found near his villa outside Verona between July and December 1995 .	JJ , VBN IN CD CC VBN IN CD NNS IN VBG DT JJ NN , VBZ VBN IN VBG CD NNS , CD IN WP$ NNS VBD VBD IN PRP$ NN IN NNP IN NNP CC NNP CD .
Two of the corpses were identified but not the third , found headless and decomposed in a sack in a nearby canal .	CD IN DT NNS VBD VBN CC RB DT JJ , VBD JJ CC JJ IN DT NN IN DT JJ NN .
Lawyer Cesare dal Maso told ANSA that Stevanin confessed to beheading and dumping the body of a fourth woman in the nearby Adige river .	NNP NNP NN NNP VBD NNP IN NNP VBD TO NN CC VBG DT NN IN DT JJ NN IN DT JJ NNP NN .
Dal Maso declined to comment on the alleged fifth murder , saying only that " the interrogations are not over yet " with investigators .	NNP NNP VBD TO VB IN DT JJ NN NN , VBG RB IN " DT NNS VBP RB IN RB " IN NNS .
It said investigators believed Stevanin had suffocated them by putting plastic bags on their heads .	PRP VBD NNS VBD NNP VBD VBN PRP IN VBG JJ NNS IN PRP$ NNS .
Stevanin was first sentenced for assault but investigators began digging in the garden of his villa after the first body was found by a passer-by .	NNP VBD RB VBN IN NN CC NNS VBD VBG IN DT NN IN PRP$ NN IN DT JJ NN VBD VBN IN DT NNS .
Belgium asks how paedophile suspect eluded police .	NNP VBZ WRB JJ NN VBD NN .
Jeremy Lovell	NNP NNP
BRUSSELS 1996-08-24	NNP CD
Belgian police searched two more houses on Saturday for bodies in a child-sex scandal of murder , kidnapping and pornography that has sent a shockwave of revulsion throughout Europe .	JJ NN VBD CD JJR NNS IN NNP IN NNS IN DT JJ NN IN NN , NN CC NN WDT VBZ VBN DT NN IN NN IN NNP .
Recriminations built up over how the scandal 's central figure , convicted child rapist Marc Dutroux , managed to prey on children unhindered for so long .	NNS VBD RP IN WRB DT NN POS JJ NN , VBD NN NN NNP NNP , VBD TO VB IN NNS JJ IN RB JJ .
In just over a week two young girls have been found dead , from starvation , two have been freed from a dungeon-like secret compartment and an international hunt has started for at least two others .	IN RB IN DT NN CD JJ NNS VBP VBN VBN JJ , IN NN , CD VBP VBN VBN IN DT JJ NN NN CC DT JJ NN VBZ VBN IN IN JJS CD NNS .
On Saturday investigators with dogs trained to find bodies searched one house at Ransart and one at Mont-sur-Marchienne -- both suburbs of the southern city of Charleroi .	IN NNP NNS IN NNS VBN TO VB NNS VBD CD NN IN NNP CC CD IN NNP : DT NNS IN DT JJ NN IN NNP .
Both houses are owned by Dutroux .	DT NNS VBP VBN IN NNP .
Belgian media speculated that Dutroux , charged with abduction and illegal imprisonment of children , must have had high level protection to molest youngsters .	JJ NNS VBD IN NNP , VBN IN NN CC JJ NN IN NNS , MD VB VBD JJ NN NN TO VB NNS .
They put forward no proof to support the speculation , but seized on a comment by chief prosecutor Michel Bourlet on Belgian television on Friday night that he would chase down everyone involved in the case " if I am allowed to " .	PRP VBD RB DT NN TO VB DT NN , CC VBD IN DT NN IN JJ NN NNP NNP IN JJ NN IN NNP NN IN PRP MD VB RP NN VBN IN DT NN " IN PRP VBP VBN TO " .
Bourlet said between 300 and 400 paedophile porn video tapes had been seized , some of which featured Dutroux .	NNP VBD IN CD CC CD JJ JJ NN NNS VBD VBN VBN , DT IN WDT VBD NNP .
Dutroux was charged a week ago after police rescued two young girls from a concrete dungeon in the basement of one of the six houses he owns in and around Charleroi .	NN VBD VBN DT NN RB IN NN VBD CD JJ NNS IN DT JJ NN IN DT NN IN CD IN DT CD NNS PRP VBZ RB CC IN NNP .
Just a day later the national euphoria at the rescue turned to disgust as Dutroux led police to the bodies of two eight-year-old girls in another of his houses .	RB DT NN RB DT JJ NN IN DT NN VBD TO NN IN NNP VBD NNS TO DT NNS IN CD NN NNS IN DT IN PRP$ NNS .
Julie Lejeune and Melissa Russo , had been kidnapped in June last year .	NNP NNP CC NNP NNP , VBD VBN VBN IN NNP JJ NN .
Dutroux said they starved to death nine months later .	NNS VBD PRP VBD TO NN CD NNS RB .
He also admitted kidnapping two other girls , An Marchal and Eefje Lambrecks , a year ago .	PRP RB VBD NN CD JJ NNS , DT NNP CC NNP NNP , DT NN RB .
